node,employee_technology
CHE,7.1608
CHN,5.6465
DEU,7.1608
IND,5.6465
KOR,5.6465
MYS,5.6465
ROA,5.6465
ROE,7.1608
ROW,5.6465
THA,5.6465
USA,7.1608
VNM,5.6465
