node,year_construction,capacity_existing
AUS,2020,5666.666667
BRA,2020,333.3333333
CHE,2020,0
CHN,2020,46666.66667
DEU,2020,0
DNK,2020,0
GBR,2020,0
IND,2020,1000
JPN,2020,0
NLD,2020,0
ROE,2020,900
ROW,2020,12766.66667
SWE,2020,0
USA,2020,12666.66667
