node,availability_import_yearly
AUS,900000000
BRA,400000000
CHE,0
CHN,340000000
DEU,0
DNK,0
GBR,0
IND,230000000
JPN,0
NLD,0
ROE,157000000
ROW,301000000
SWE,35000000
USA,37000000
