node,availability_import_yearly
AUS,110000000
BRA,35000000
CHE,0
CHN,60000000
DEU,0
DNK,0
GBR,0
IND,22000000
JPN,0
NLD,0
ROE,4131000
ROW,139869000
SWE,0
USA,0
