node,year_construction,capacity_existing
CHE,2020,31
CHN,2020,401269
DEU,2020,3320
IND,2020,12399
KOR,2020,10230
MYS,2020,15180
ROA,2020,20935
ROE,2020,2592
ROW,2020,6427
THA,2020,6960
USA,2020,7042
VNM,2020,25225
