year,value
0,213638.25615854014
1,216060.16274024156
2,214318.63985651341
3,213467.81335843453
4,212543.48329193942
5,212018.18646936258
6,212044.39834417796
7,211630.65610869863
8,213634.70705114506
9,215148.04850477848
10,216429.59815202153
11,219543.2201780296
12,223058.42434444162
13,227711.01628143326
14,228533.33270748146
15,228634.74206386387
16,230520.3381171704
17,234257.6255767859
18,237435.089234207
19,235210.22500606746
20,237141.84080108747
21,254077.94900243258
22,254310.6989066211
23,253629.35123273937
24,253126.674461465
25,250656.36111494957
26,253607.52871151574
27,254136.9828308551
28,253745.49001537298
29,252894.838939503
