year,value
0,383377.02377051534
1,384802.55641046807
2,386086.121175481
3,340202.1779195545
4,336309.9090119799
5,336334.0450672803
6,336349.37835453165
7,334103.1549998643
8,334914.03110316664
9,335138.625094131
10,334482.2152529676
11,335092.55363450985
12,335755.3585710105
13,337926.3522536229
14,338256.97611736675
15,336411.28139785584
16,337234.9555220634
17,343333.1830363737
18,345158.99305122497
19,341693.1690674979
20,342151.4937961551
21,351633.7255789633
22,351273.29356348974
23,349913.6983454182
24,348956.574137027
25,345250.20570083853
26,347229.7876205876
27,347261.355502016
28,346455.63969374343
29,345118.71807450964
