year,value
0,70162.21159262482
1,70785.58198630632
2,70242.81048060473
3,69988.5259938894
4,69068.03390995473
5,68432.31227150408
6,67715.08366458643
7,66277.51161481545
8,65734.49792421973
9,64821.3653943339
10,63762.924644221384
11,63693.961790864545
12,63751.02274755633
13,64141.79440890406
14,63783.17481029309
15,62622.58047484304
16,62291.55317951116
17,63153.29085063515
18,63229.494252810284
19,62559.338443576264
20,62779.8380821417
21,65448.33298498731
22,65211.05323235229
23,64675.52591522577
24,64357.711042371535
25,64529.957968022616
26,65015.30086756091
27,64959.06523426304
28,64648.71506446158
29,64256.22467794731
