year,value
0,211646.92596241378
1,214068.77213105228
2,212322.00253541843
3,211469.72014131697
4,210247.06359975185
5,209394.3322555797
6,209531.43188970143
7,209129.78046539772
8,210344.05445871945
9,211332.9067880089
10,213315.9857078545
11,216242.57909555075
12,219410.82321344016
13,223422.91726611578
14,223867.391417323
15,224671.98455609434
16,225983.15194101675
17,228544.36717521347
18,230441.68451271215
19,227624.9420198233
20,226725.552576009
21,242009.407903067
22,242257.33234307746
23,241225.04934774252
24,240144.41941260733
25,235704.95469699468
26,235427.5067189155
27,235691.56989343197
28,236514.04065796777
29,237441.95149236356
