technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
DAC,power,AT,6.317286996565558e-11,7.748285440391231e-11,8.828164030197003e-11,9.765887850210394e-11,1.0554157187127062e-10,1.1338783476540458e-10,1.208846531513281e-10,1.2830191509537714e-10,1.3550504218760622e-10,1.4275473547054009e-10,1.5024334290522466e-10,1.5828954553730883e-10,1.6712426447802196e-10,1.76880682609667e-10,1.8767823568954687e-10,1.996988912583736e-10,2.1335864200434725e-10,2.2932520592384588e-10,2.485483071079752e-10,2.7269789884729264e-10,2.4109649369681223e-10,2.5694925002191346e-10,2.7708759084831894e-10,2.9841491317441537e-10,3.2161372932717414e-10,3.4543809214594346e-10,3.7346788745773635e-10,4.092573251397607e-10,4.5829307236254684e-10,5.46373514796541e-10
DAC,power,BE,5.85757160925763e-11,7.663662591392145e-11,8.867793539764842e-11,9.868157277264446e-11,1.0700194593331535e-10,1.1461275178268488e-10,1.2195394422659944e-10,1.2913228099347015e-10,1.361145686209993e-10,1.4313437839697213e-10,1.5026351461670798e-10,1.5795101741210512e-10,1.6647553576185515e-10,1.7598313650687518e-10,1.8675487524646643e-10,1.987246704453185e-10,2.1234179982070867e-10,2.2811614350808725e-10,2.4693491490632487e-10,2.705089326148415e-10,2.4313623510590386e-10,2.5675410669003313e-10,2.777260546048301e-10,3.0100653741895275e-10,3.2747371925819015e-10,3.5609316938249935e-10,3.869517084333362e-10,4.2631311865764695e-10,4.796225653609599e-10,5.768747869207647e-10
DAC,power,BG,6.43575983379695e-11,7.859368501478873e-11,8.99048172844274e-11,9.981415486133123e-11,1.086584777748746e-10,1.1715436675420106e-10,1.2548918882028893e-10,1.334981763933557e-10,1.4173351280611118e-10,1.495938839374577e-10,1.5749788710531209e-10,1.6571114227945888e-10,1.7429279676591063e-10,1.831653308231975e-10,1.9329476427502737e-10,2.0498926856836562e-10,2.1864397225737474e-10,2.3494550075528674e-10,2.546977558424456e-10,2.800245622647784e-10,2.51806689523255e-10,2.7262543778280303e-10,2.982329963129229e-10,3.2906597449713906e-10,3.6268070168350243e-10,3.9760358338205426e-10,4.345665646279031e-10,4.796873865286387e-10,5.389428271286987e-10,6.518990337555665e-10
DAC,power,CH,6.354540085029874e-11,7.785339630286084e-11,8.89598763198305e-11,9.859637568089014e-11,1.068855344594143e-10,1.1452678311122744e-10,1.216772910209957e-10,1.2831223955397625e-10,1.3503824048058346e-10,1.4199202892165715e-10,1.4932078411348297e-10,1.5716385109020553e-10,1.6585897749454963e-10,1.7559435739958155e-10,1.8636905294357676e-10,1.9855458627346663e-10,2.125181826483409e-10,2.2890684202629448e-10,2.4876827763643805e-10,2.7420800147750733e-10,2.4524276088044977e-10,2.64837789865865e-10,2.889587289413963e-10,3.1447814181152753e-10,3.4210868860780863e-10,3.7173402540549423e-10,4.067390437417193e-10,4.5204991770760124e-10,5.121945336165004e-10,6.157241154494964e-10
DAC,power,CZ,6.406993907865496e-11,7.821069239724292e-11,8.913430804295845e-11,9.870657816576724e-11,1.067351670305075e-10,1.1447232738494527e-10,1.217030655227033e-10,1.2861145395865075e-10,1.358139681178117e-10,1.4325929485203542e-10,1.5103686770920936e-10,1.5944363917726476e-10,1.6877483346319516e-10,1.7906822711664635e-10,1.9061126987802363e-10,2.035153637803601e-10,2.1816274464906234e-10,2.352645539447992e-10,2.556446211021233e-10,2.811363468411976e-10,2.5069893849455156e-10,2.7057884468277813e-10,2.9381790424542124e-10,3.1778801008181025e-10,3.444157757770905e-10,3.7322956192952623e-10,4.0705106050944516e-10,4.4960211475250155e-10,5.06074326494106e-10,6.05799105647628e-10
DAC,power,DE,5.764658388255906e-11,7.611478885403194e-11,8.816028653520489e-11,9.806441645245511e-11,1.0638514846632348e-10,1.138534432396629e-10,1.2116037585305497e-10,1.286928985433369e-10,1.3598842633489826e-10,1.4292267972258855e-10,1.500167353239898e-10,1.5760703887970492e-10,1.6584428478910584e-10,1.7498931901655019e-10,1.852080572975859e-10,1.9680631600955852e-10,2.1011087056002832e-10,2.2558602366590203e-10,2.4416285485136507e-10,2.6725982316305035e-10,2.394198297214956e-10,2.5087911532876227e-10,2.7002330151810233e-10,2.916386850786784e-10,3.1661275862519987e-10,3.458431933548953e-10,3.786166065864362e-10,4.1536782349826116e-10,4.6352315457245284e-10,5.459780093650088e-10
DAC,power,DK,6.063801714681928e-11,7.72594691306887e-11,8.875784852943805e-11,9.82248746059719e-11,1.0620163464140319e-10,1.141051539111541e-10,1.220015252446625e-10,1.300377063734627e-10,1.3829316590054562e-10,1.467588884830211e-10,1.557533800086773e-10,1.652838329751759e-10,1.7568744865950734e-10,1.8721604841433373e-10,1.999260746017923e-10,2.1433272753320802e-10,2.3085792491857723e-10,2.502631444623787e-10,2.736439841831217e-10,3.029566995841264e-10,2.8024084641153553e-10,3.028918987092514e-10,3.3109097170774407e-10,3.6212288897894545e-10,3.971995233516202e-10,4.379569951218151e-10,4.857210245464637e-10,5.469120481485071e-10,6.265895004743577e-10,7.655795689183394e-10
DAC,power,EE,5.861243466246322e-11,7.627539170931467e-11,8.756781629120518e-11,9.667609130478971e-11,1.0415657062842245e-10,1.1131935668894855e-10,1.1828084729138973e-10,1.2512379543781887e-10,1.3229150187039943e-10,1.3959764715866074e-10,1.472327031926518e-10,1.5539973362256298e-10,1.642721605230966e-10,1.7398493847724542e-10,1.848540519614362e-10,1.9697769622554298e-10,2.1077762363696728e-10,2.2697587049072964e-10,2.4656767068763014e-10,2.713335570823506e-10,2.4617059863359583e-10,2.6281944568091237e-10,2.8749744942734297e-10,3.1503033057893535e-10,3.466048978324236e-10,3.8228367038670245e-10,4.231421327396611e-10,4.737708838586531e-10,5.39569973099991e-10,6.516138899256242e-10
DAC,power,EL,6.36955243531972e-11,7.798539003036316e-11,8.929158048997931e-11,9.942845182161348e-11,1.0861725962021799e-10,1.1713389271033674e-10,1.2533674727755505e-10,1.3342947489930882e-10,1.4119135135179885e-10,1.4866787082971684e-10,1.558725821890879e-10,1.6331383437316145e-10,1.7065538941856218e-10,1.7919177345904464e-10,1.889546342196888e-10,2.0014773929512325e-10,2.1321787536419352e-10,2.2906793247033974e-10,2.479910699459904e-10,2.7216458621180623e-10,2.4137493415954637e-10,2.59492557995269e-10,2.823783114328515e-10,3.077592160729514e-10,3.3460893303761683e-10,3.6422544944315596e-10,3.981468211573086e-10,4.3892587989994227e-10,4.937607945240594e-10,5.940606398513381e-10
DAC,power,ES,6.050576605625617e-11,7.574207443481276e-11,8.674497841625974e-11,9.610389725859773e-11,1.0415668985272113e-10,1.1208052918071087e-10,1.2008546962469805e-10,1.2816826976894026e-10,1.3651232330605931e-10,1.4488347356869102e-10,1.5351523893361653e-10,1.6261085022639973e-10,1.7256442588032121e-10,1.8363812275886375e-10,1.9581587629845206e-10,2.0964185528472446e-10,2.2539071317765614e-10,2.4368981739136707e-10,2.657289365853268e-10,2.936400546828244e-10,2.7108927998090975e-10,2.9499180529686944e-10,3.229123644679361e-10,3.522415462570136e-10,3.8369195617905877e-10,4.1686350210274774e-10,4.5383184055554546e-10,4.991525782251853e-10,5.595074879983313e-10,6.674366136749239e-10
