year,value
0,377780.87002500414
1,379309.6431918667
2,380273.82769234467
3,335684.89812650485
4,332149.3232616273
5,331597.47161555785
6,331234.7624945096
7,328618.91824978037
8,328323.3150513536
9,327537.1851375213
10,326097.32948019216
11,326008.0137758483
12,325970.5430426557
13,326568.36243887886
14,325005.5513401882
15,322307.4788082581
16,320858.3658922942
17,321046.6557063981
18,319303.79706863314
19,313925.4583966208
20,310558.90483372175
21,321527.0393762939
22,322001.97826461477
23,321720.06954326393
24,320732.12445137696
25,317014.44600804994
26,317069.8675362241
27,316613.6489004423
28,316605.8322771535
29,316766.6381372918
