node,year_construction,capacity_existing
AUS,2020,1.204
BRA,2020,1.257
CHE,2020,0.012
CHN,2020,53.756
DEU,2020,1.966
DNK,2020,0.214
GBR,2020,0.102
IND,2020,1.119
JPN,2020,0.619
NLD,2020,0.668
ROE,2020,7.546
ROW,2020,4.633
SWE,2020,1.969
USA,2020,16.957
