node,year,material_transport_cost
AUS,2021,0.17304
AUT,2021,0.56868
BRA,2021,0.01008
CHN,2021,0.01008
CZE,2021,0.56868
DEU,2021,0.56868
ITA,2021,0.56868
JPN,2021,0.01008
KOR,2021,0.00924
ROE,2021,0.56868
ROW,2021,0.01008
USA,2021,0.00252
