node,year_construction,capacity_existing
CHE,2020,0
CHN,2020,374188
DEU,2020,640
IND,2020,3627
KOR,2020,7876
MYS,2020,12950
ROA,2020,12880
ROE,2020,1581
ROW,2020,60
THA,2020,9600
USA,2020,0
VNM,2020,12000
