node,year_construction,capacity_existing
AUS,2020,17000
BRA,2020,1000
CHE,2020,0
CHN,2020,140000
DEU,2020,0
DNK,2020,0
GBR,2020,0
IND,2020,3000
JPN,2020,0
NLD,2020,0
ROE,2020,2700
ROW,2020,38300
SWE,2020,0
USA,2020,38000
