node,year,material_transport_cost
AUS,2021,0.04956
AUT,2021,0.46788
BRA,2021,0.03192
CHN,2021,0.22932
CZE,2021,0.58044
DEU,2021,0.37716
ITA,2021,0.35952
JPN,2021,0.48048
KOR,2021,0.20244
ROE,2021,0.46788
ROW,2021,0.31836
USA,2021,0.14868
