node,availability_import_yearly
AUS,2000000
BRA,8100000
CHE,0
CHN,300000000
DEU,7100000
DNK,0
GBR,1500000
IND,16000000
JPN,7300000
NLD,0
ROE,29800000
ROW,32200000
SWE,0
USA,16000000
