node,year_construction,capacity_existing
AUS,2020,0.401333333
BRA,2020,0.419
CHE,2020,0.004
CHN,2020,17.91866667
DEU,2020,0.655333333
DNK,2020,0.071333333
GBR,2020,0.034
IND,2020,0.373
JPN,2020,0.206333333
NLD,2020,0.222666667
ROE,2020,2.515333333
ROW,2020,1.544333333
SWE,2020,0.656333333
USA,2020,5.652333333
