node,year,material_transport_cost
AUS,2021,0.00756
AUT,2021,0.00924
BRA,2021,0.01428
CHN,2021,0.00672
CZE,2021,0.02184
DEU,2021,0.00252
ITA,2021,0.12768
JPN,2021,0.00252
KOR,2021,0.00084
ROE,2021,0.00168
ROW,2021,0.00336
USA,2021,0.01848
