node,year,material_transport_cost
AUS,2021,0.009
AUT,2021,0.011
BRA,2021,0.017
CHN,2021,0.008
CZE,2021,0.026
DEU,2021,0.003
ITA,2021,0.152
JPN,2021,0.003
KOR,2021,0.001
ROE,2021,0.001
ROW,2021,0.001
USA,2021,0.002
