node,year,material_transport_cost
AUS,2021,0.0168
AUT,2021,0.1344
BRA,2021,0.00672
CHN,2021,0.05964
CZE,2021,0.08904
DEU,2021,0.05292
ITA,2021,0.04788
JPN,2021,0.19572
KOR,2021,0.05376
ROE,2021,0.08106
ROW,2021,0.069216
USA,2021,0.03528
