node,year,material_transport_cost
AUS,2021,0.05292
AUT,2021,0.0126
BRA,2021,0.00336
CHN,2021,0.02268
CZE,2021,0.01008
DEU,2021,0.00588
ITA,2021,0.00756
JPN,2021,0.01176
KOR,2021,0.0126
ROE,2021,0.00924
ROW,2021,0.01428
USA,2021,0.00588
