node,year_construction,capacity_existing
AUS,2020,0
BRA,2020,0
CHE,2020,0
CHN,2020,17300
DEU,2020,5800
DNK,2020,0
GBR,2020,5000
IND,2020,25000
JPN,2020,27000
NLD,2020,0
ROE,2020,7400
ROW,2020,1500
SWE,2020,0
USA,2020,45300
