node,year_construction,capacity_existing
AUS,2020,0
BRA,2020,57000000
CHE,2020,0
CHN,2020,2200000000
DEU,2020,0
DNK,2020,0
GBR,2020,0
IND,2020,340000000
JPN,2020,53000000
NLD,2020,0
ROE,2020,56000000
ROW,2020,1304000000
SWE,2020,0
USA,2020,90000000
