node,year_construction,capacity_existing
AUS,2020,5800000
BRA,2020,36000000
CHE,2020,0
CHN,2020,1064000000
DEU,2020,40000000
DNK,2020,0
GBR,2020,7200000
IND,2020,118000000
JPN,2020,96000000
NLD,2020,6600000
ROE,2020,200000000
ROW,2020,286700000
SWE,2020,4700000
USA,2020,86000000
