node,year,material_transport_cost
AUS,2021,0.004
AUT,2021,0.028
BRA,2021,0.003
CHN,2021,0.006
CZE,2021,0.007
DEU,2021,0.008
ITA,2021,0.009
JPN,2021,0.014
KOR,2021,0.007
ROE,2021,0.008
ROW,2021,0.006
USA,2021,0.005
