year,value
0,213592.5294983883
1,216029.60293026632
2,214217.60708671657
3,213367.39141869443
4,212423.72710873777
5,211950.11273484927
6,211849.50665362092
7,211076.94102038332
8,212918.05248840424
9,214398.12329402516
10,216307.0840762226
11,219159.91491358666
12,222568.45601384362
13,226654.67628881664
14,228277.95641624308
15,230233.12970962
16,232145.454227984
17,236465.56974609548
18,239153.7014823332
19,237626.64549050867
20,237830.3319156257
21,255667.77288782856
22,255641.89746644715
23,254999.2941021748
24,254557.3575935167
25,250201.0302459388
26,251703.6909184955
27,254772.14174255152
28,254458.71158123435
29,253819.99896840475
30,251417.87289866028
