year,value
0,70141.28670602416
1,70765.73566616257
2,70217.88778186365
3,69982.05128521907
4,69053.04364046158
5,68398.46052041555
6,67688.81934803413
7,66216.26266453981
8,65669.91035003126
9,64787.04569039298
10,63752.105211590766
11,63638.28816953704
12,63754.96517871214
13,63965.97951601283
14,63727.877898217936
15,62952.428290696786
16,62571.17757394515
17,63505.88665069113
18,63516.93954906965
19,62998.75015346797
20,62907.285547705935
21,65921.61877201438
22,65540.79738024832
23,65006.77170649403
24,64666.026138088215
25,64333.70644176295
26,64400.13186258359
27,64994.97234035476
28,64689.10959017647
29,64381.7129518051
30,64090.04923793907
