technology,capacity_type,location,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
photovoltaics,power,CH,20.4555,0.0,0.0,0.0,0.0,11.6776,3.4545,0.022,0.0,0.0,1.042,0.0,0.0,2.108,0.0,0.0,0.0,0.0,0.0,0.0,3.463,0.0,0.0,1.2023,5.3678,5.6992,0.0,0.5037,0.27,0.33
wind_offshore,power,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,CH,0.2438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0119,0.0,0.0,0.0,0.0,2.0147,1.3306,0.189,0.0639,0.1658,4.5576,3.1984,8.6115,0.0,0.0,0.0,0.6762,0.2387,0.5954,2.3416,0.6437
heat_pump,power,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.5908,0.5479,0.7134,0.2271,1.4285,1.1921,0.4177,0.3357,0.3652,0.4606,0.0054,0.3537,0.7399,0.6378,2.5466,9.9119,1.5781,0.0,0.0,0.5908,0.5479,0.7134,0.2271,1.4285
photovoltaics,power,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.888,0.7136,0.6134,0.655,0.7118,0.0053,0.1512,0.2686
wind_onshore,power,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,IT,29.8707,0.0,0.0,0.0,7.8197,9.1483,4.9923,4.7377,7.2681,4.9655,9.5275,10.8193,14.1669,9.514,0.8328,5.4932,8.228,4.0159,3.7496,40.4453,4.7183,0.0,0.0,8.9837,9.8414,4.9923,4.7377,9.7887,4.9655,9.5275
photovoltaics,power,IT,15.8509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7197,3.9685,1.2949,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,IT,43.7576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2791,8.2953,10.085,10.1136,16.3244,12.3591,8.7783,18.6456,7.969,3.6984,4.5498,0.4551,3.7785,0.0,0.0,0.7411,1.3843,56.1364,0.0,2.4922,0.6133,1.2204
heat_pump,power,CZ,0.0,0.0,0.0,0.0,0.0,0.0,1.1119,0.0937,0.1002,0.2749,0.4686,0.1593,0.1824,0.6067,0.5881,0.2092,3.0275,1.5925,2.602,0.943,1.3473,13.7836,0.2023,0.184,0.0,1.1119,0.0937,0.1002,0.2749,0.4686
photovoltaics,power,CZ,3.1378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,CZ,18.2728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6972,0.1826,2.6663,3.0126,2.0958,2.3944,1.4338,0.5289,2.6125,5.0909,9.1859,0.8971,0.8853,1.6936,18.9579,0.0465,0.0088,1.1645,1.1339
heat_pump,power,ROE,115.2606,0.0,0.0,0.0,4.7236,10.8738,8.3172,13.3587,11.6897,9.1357,18.0185,14.5619,12.8045,22.5969,6.6588,12.4249,11.9421,12.7594,17.6992,158.1799,29.6908,74.8164,5.9802,4.8585,13.3301,14.7898,14.9011,12.0496,9.2509,18.6097
photovoltaics,power,ROE,22.7496,0.0,0.0,0.0,0.0,1.181,0.3443,10.535,1.3051,0.9542,12.0421,0.6423,0.0,0.1024,0.0524,13.6387,0.0,9.69,4.724,0.9805,2.9659,13.578,2.979,2.1953,3.4342,11.3981,2.8105,0.8815,5.2635,17.8771
wind_offshore,power,ROE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2196,0.562,0.3627
wind_onshore,power,ROE,146.9478,0.0,0.1597,0.0,0.0,0.0469,5.4175,16.2555,10.4292,23.409,19.9715,19.2153,16.2661,19.6781,16.839,39.1219,24.7034,12.1955,27.8001,37.8087,42.8385,57.0699,25.6271,33.4257,13.4785,221.2509,13.0143,7.3507,3.8951,2.3973
