technology,capacity_type,location,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
wind_onshore,power,DK,13.1918,13.2962,13.2962,13.2826,13.2589,13.2261,13.2112,13.1557,13.154,13.154,13.1465,13.25,13.5817,13.5279,13.464,13.3115,13.1216,12.9303,12.5773,13.5366,19.9888,23.7152,23.723,26.3201,26.9124,26.9124,28.2692,29.9462,31.2811,31.4169
heat_pump,power,CH,3.5258,3.7062,3.7062,3.7062,3.2335,3.0438,2.5665,2.4243,2.2415,2.2415,2.135,2.4667,2.6199,3.815,4.8506,5.3553,5.5648,6.9317,6.9317,7.1201,7.9813,26.7102,26.7102,26.7102,26.7102,30.5779,30.5779,30.5779,30.5779,30.3112
photovoltaics,power,CH,26.3813,27.0643,27.0643,27.0643,27.0643,38.742,42.1965,42.2184,42.2184,42.2184,43.2602,43.2597,43.2589,45.3659,45.3646,45.3631,45.3613,45.3543,45.3423,45.3122,48.7293,48.6323,48.4187,49.291,54.3558,59.7179,59.4546,59.7179,59.7179,59.7179
wind_offshore,power,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,CH,0.4194,0.4194,0.4194,0.4194,0.4194,0.4194,0.4194,0.4194,0.4238,0.435,0.4312,0.4312,0.4312,0.4292,2.4399,3.7436,3.9234,3.9813,4.1369,8.6944,11.8929,20.4911,20.4911,20.4911,20.4911,20.8357,21.0744,21.6698,24.0114,24.6552
heat_pump,power,SE,7.6737,7.6737,7.6737,7.6737,7.1767,6.2998,6.3141,6.3727,6.5779,6.5935,6.5935,7.6346,7.6346,7.6346,7.6442,7.6442,7.6442,7.7702,7.7702,8.408,10.9546,20.8665,22.4446,22.4446,22.4446,22.4446,22.4446,22.4446,22.4446,22.4446
photovoltaics,power,SE,1.1782,1.6812,1.6812,1.6812,1.6812,1.6812,1.6812,1.6812,1.6812,1.6812,1.6811,1.681,1.6807,1.6804,1.6799,1.6794,1.6788,1.6774,1.6757,1.6749,1.6722,1.6679,1.6594,1.6403,1.6041,1.5583,1.4791,1.366,1.186,0.899
wind_offshore,power,SE,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.081,0.081,0.051,0.051,0.051,0.003,0.003,0.003,0.003,0.891,1.6016,2.215,2.87,3.5817,3.587,3.7382,4.0068
wind_onshore,power,SE,9.2256,10.6159,10.6159,10.6131,10.6125,10.5879,10.5643,10.5219,10.4503,10.4032,10.382,10.2742,10.0761,9.9007,9.566,8.9713,8.4318,7.7506,7.1409,6.1605,5.4168,4.7962,4.6057,4.1063,3.334,3.334,3.334,3.334,3.334,3.334
heat_pump,power,IT,48.9439,49.3422,49.3422,49.3422,57.1022,65.6899,70.3679,75.0459,82.2091,87.1746,95.364,106.1233,119.4981,128.002,128.8348,133.94,137.9105,141.9264,145.0845,146.1225,150.8408,150.8408,150.8408,152.0048,152.698,152.698,152.698,155.2186,155.2186,155.2186
photovoltaics,power,IT,59.0796,60.0156,60.0156,60.0156,60.0156,60.0156,60.0156,60.0156,60.0156,60.0156,60.0134,60.009,60.0024,59.9935,59.9824,59.9691,59.9536,59.8836,59.5452,58.8267,54.9778,48.9344,48.9868,48.7858,48.3768,48.079,47.7103,47.3009,46.8642,46.1128
wind_offshore,power,IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,IT,66.2083,66.6974,66.6974,66.6974,66.6716,66.4232,66.27,66.2172,74.0194,81.9068,91.7052,101.3284,116.8479,128.3043,135.7397,153.2382,160.0767,162.6759,166.7435,167.0538,170.59,170.2459,169.9492,170.245,171.1054,172.2588,172.2588,174.751,175.3644,176.5848
heat_pump,power,CZ,1.9764,2.0217,2.0217,2.0217,1.8812,1.7884,2.7832,2.8527,2.9222,3.1262,3.1958,3.2653,3.3348,3.7098,4.0907,4.2482,7.2166,8.6321,11.0623,12.0053,13.3526,27.1362,27.3385,27.5225,27.5225,27.5225,27.5225,27.5225,27.5225,27.5225
photovoltaics,power,CZ,7.4419,7.4419,7.4419,7.4419,7.4419,7.4419,7.4419,7.4419,7.4419,7.4419,7.4419,7.4418,7.4417,7.4415,7.4413,7.4411,7.4408,7.4362,7.3738,6.9461,5.4859,5.4415,5.3695,5.3146,5.3119,5.3107,5.3099,5.3049,5.2999,5.2949
wind_offshore,power,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,CZ,18.8709,18.8709,18.8709,18.8709,18.8709,18.8709,18.8686,18.8685,18.861,18.8589,18.8474,19.5179,19.6412,22.2713,25.2502,27.316,29.7086,31.1125,31.6215,34.2219,39.3128,48.4987,49.3698,50.2551,51.9487,52.3347,52.3812,52.39,53.5545,54.6884
heat_pump,power,ROE,196.5709,197.6265,197.6265,197.6265,198.9484,205.363,207.3026,217.5057,226.5006,233.1369,248.3541,260.0892,269.5812,286.9172,291.5897,300.5075,310.4706,321.1789,336.1262,347.5192,377.2101,452.0265,458.0067,458.1416,460.5978,467.0705,468.6129,468.9727,469.088,469.6791
photovoltaics,power,ROE,84.5985,99.5149,99.5149,99.5149,99.5149,100.6959,101.0402,111.5753,112.8803,113.8345,125.8599,126.4687,126.4184,126.4537,126.4224,139.9605,139.8432,148.9212,150.6285,150.6808,151.6324,160.9853,159.8947,158.9858,160.7376,170.6694,172.2911,171.4578,174.3469,183.1932
wind_offshore,power,ROE,2.3597,2.3633,2.3633,2.3633,2.3633,2.3633,2.3633,2.3633,2.3633,2.3381,2.3381,2.3381,2.3381,2.3381,2.3053,2.138,2.138,2.138,1.8428,1.6268,1.6268,1.6268,1.4198,1.4178,0.7345,0.7345,0.7345,0.9541,1.5161,1.8788
wind_onshore,power,ROE,284.149,289.0251,288.9135,288.6062,288.1431,287.1136,291.2912,306.2152,314.7665,334.69,351.4491,365.9873,378.038,392.415,403.1552,437.023,457.3466,464.9433,489.2097,523.7367,562.1505,615.85,637.4045,667.5116,675.5395,694.7054,707.7197,714.9106,718.8058,721.203
