node,availability_import_yearly
AUS,870000
BRA,0
CHE,0
CHN,1700000
DEU,0
DNK,0
GBR,0
IND,0
JPN,0
NLD,0
ROE,1250000
ROW,14980000
SWE,0
USA,1200000
