node,employee_technology
CHE,28.653
CHN,28.653
DEU,28.653
IND,28.653
KOR,22.523
MYS,22.523
ROA,22.523
ROE,28.653
ROW,22.523
THA,22.523
USA,28.653
VNM,22.523
