node,year_construction,capacity_existing
CHE,2020,0
CHN,2020,646500
DEU,2020,60125
IND,2020,0
KOR,2020,6500
MYS,2020,30000
ROA,2020,19400
ROE,2020,7000
ROW,2020,0
THA,2020,0
USA,2020,60860
VNM,2020,0
