node,year_construction,capacity_existing
AUS,2022,160000
AUT,2022,700
BRA,2022,83000
CHN,2022,110000
CZE,2022,0.0
DEU,2022,0.0
ITA,2022,0.0
JPN,2022,56000
KOR,2022,0.0
ROE,2022,355000
ROW,2022,2517300
USA,2022,18000
