technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
DAC,power,AT,6.014781622418922e-09,6.780374321174286e-09,7.333099106317713e-09,8.037056598089616e-09,8.598862816467775e-09,9.074474571304592e-09,9.471878350449775e-09,9.872456294878712e-09,1.030819204808298e-08,1.0830657615351477e-08,1.1416336983229948e-08,1.1865993733156703e-08,1.239111559605639e-08,1.3004709225969959e-08,1.3720038746967638e-08,1.4499840144468015e-08,1.5342422490958433e-08,1.6417360604243572e-08,1.744764042738097e-08,1.892357982734384e-08,1.847832136633287e-08,1.980834023999133e-08,2.172932759561946e-08,2.361783108907872e-08,2.5360502480887125e-08,2.6978213705099207e-08,2.869533650966401e-08,3.035871087996651e-08,3.2521492040836254e-08,3.480393906529322e-08
DAC,power,BE,5.933802700112382e-09,6.715423537353864e-09,7.327609684062525e-09,8.089808314577758e-09,8.662264565294997e-09,9.148179437903252e-09,9.554736708589987e-09,9.865314352516086e-09,1.0184327776485316e-08,1.0597808586671475e-08,1.1144907078587346e-08,1.1626555881204433e-08,1.2269788885103293e-08,1.3018201862974219e-08,1.3894903090545011e-08,1.4863153028023211e-08,1.5697481060326933e-08,1.673107102384689e-08,1.7783052148822883e-08,1.9280019637977693e-08,1.9034851498645735e-08,2.0791266628301078e-08,2.257819421750477e-08,2.4262170258475145e-08,2.6592539666072098e-08,2.9079882646923013e-08,3.1393696134139935e-08,3.370875006003151e-08,3.561038724791435e-08,3.8278912147259953e-08
DAC,power,BG,6.091135038196183e-09,6.806709667648205e-09,7.367351610588203e-09,8.085118494387658e-09,8.756136197372115e-09,9.339278312011198e-09,9.912169330038788e-09,1.0501966372514773e-08,1.1176721108706716e-08,1.1845465547796832e-08,1.2529180894333747e-08,1.3274159851230367e-08,1.4217941555055302e-08,1.5145840143388134e-08,1.6001372453663688e-08,1.682988506798752e-08,1.768589601225613e-08,1.8557861694638715e-08,1.936925472659811e-08,2.0622757599502372e-08,2.0140273252563617e-08,2.2098436011040903e-08,2.3927599211718074e-08,2.5419848227911142e-08,2.7216820674072423e-08,2.9226654722381428e-08,3.110678331731242e-08,3.2896907579026747e-08,3.42699189374304e-08,3.673082207842707e-08
DAC,power,CH,5.984888351015686e-09,6.737609103566361e-09,7.333688211363112e-09,8.093844748497376e-09,8.667855378471358e-09,9.165004382792289e-09,9.57643944028321e-09,9.925157721218544e-09,1.0328807642409735e-08,1.0780778497076915e-08,1.130939073297863e-08,1.177272990456561e-08,1.2300168940184636e-08,1.2897843798218919e-08,1.3568685047923562e-08,1.435368881392423e-08,1.522332827876903e-08,1.6173663316150553e-08,1.7253251359639882e-08,1.884244521116484e-08,1.8582455505112534e-08,2.0280843882513478e-08,2.1924760015079634e-08,2.3425877185066317e-08,2.5425596666685126e-08,2.7327784384934525e-08,2.929953077480462e-08,3.119159584060713e-08,3.3482658236508645e-08,3.614241066858958e-08
DAC,power,CZ,6.040964148107037e-09,6.78216860881454e-09,7.357025698766765e-09,8.119472986734366e-09,8.729068219673783e-09,9.292728756469429e-09,9.841716026826731e-09,1.0357522498958003e-08,1.0884106208784525e-08,1.1391998954852628e-08,1.189906896661924e-08,1.2198015087732087e-08,1.2621874057546626e-08,1.3160179046883524e-08,1.3846730275642537e-08,1.4757255931379522e-08,1.564269767383188e-08,1.6626335457322538e-08,1.7740648757257937e-08,1.9465410105218884e-08,1.9615502169216647e-08,2.1579852205015985e-08,2.3414014540403038e-08,2.493019341913251e-08,2.6844488185620734e-08,2.862714678164362e-08,3.0064333913399826e-08,3.1904384633242595e-08,3.3769511774390366e-08,3.653692270144872e-08
DAC,power,DE,5.938481694390903e-09,6.720762462805258e-09,7.314906697534016e-09,8.060776811298215e-09,8.623232183496695e-09,9.099027853177276e-09,9.515725412141953e-09,9.870081714435158e-09,1.0259584911082633e-08,1.063425463437567e-08,1.100280968557871e-08,1.1420555403017456e-08,1.1937223433305545e-08,1.2536694749176864e-08,1.3243142058771759e-08,1.4045763640625544e-08,1.4939986960344977e-08,1.5909713578475615e-08,1.7125440457364417e-08,1.873454072064653e-08,1.8105498233463127e-08,1.949706404987544e-08,2.0964076994388688e-08,2.2273384751124244e-08,2.4119667735428617e-08,2.638255228295154e-08,2.8533330656441178e-08,3.0612019431187197e-08,3.2437303731772444e-08,3.489150649168027e-08
DAC,power,DK,5.531977934249294e-09,6.6185961393062635e-09,7.255851619118401e-09,7.876569297276308e-09,8.255384446938616e-09,8.701001655041887e-09,9.182692002587727e-09,9.67010841941815e-09,1.025191694516265e-08,1.0914909419852128e-08,1.1749797651252325e-08,1.2330898580627058e-08,1.3064777494750831e-08,1.3870895250024458e-08,1.4717913440391132e-08,1.5760204141900702e-08,1.6975485133065796e-08,1.8534113840033155e-08,1.9581470848235006e-08,2.124100878112866e-08,2.1454649282270487e-08,2.344138740328889e-08,2.546814033605957e-08,2.7238205388343554e-08,2.9729885435287484e-08,3.216431427342396e-08,3.4567634796632546e-08,3.704427044420686e-08,3.8904798924026004e-08,4.177692544984382e-08
DAC,power,EE,5.4799090062443766e-09,6.6892628609572875e-09,7.2761801276790825e-09,7.853526841786258e-09,8.250131312618448e-09,8.661605713130644e-09,9.029107473259556e-09,9.371217318201634e-09,9.747284221040291e-09,1.0190681324700183e-08,1.0732494798861174e-08,1.128405049237047e-08,1.1930102853141355e-08,1.2672117888662789e-08,1.349948171961405e-08,1.4403225068763958e-08,1.536421021088708e-08,1.6446015758742185e-08,1.777526983956792e-08,1.9759860983864375e-08,1.9540070029618116e-08,2.063084049551246e-08,2.2303507622616856e-08,2.5065661614911617e-08,2.7121824483133154e-08,2.8979780732106347e-08,3.1132644846787384e-08,3.304375375884177e-08,3.502673129516903e-08,3.7728566557386173e-08
DAC,power,EL,5.960555158948865e-09,6.706679119588183e-09,7.315790375320577e-09,8.062366762864673e-09,8.791622786521569e-09,9.391409261548777e-09,9.940069305941133e-09,1.0525645717982173e-08,1.1227038011645355e-08,1.189959997853576e-08,1.2542114996139025e-08,1.2956877497252737e-08,1.3327029121982115e-08,1.356235364351356e-08,1.3914409812501316e-08,1.4438310439907717e-08,1.5193850204482236e-08,1.6179807393695194e-08,1.7298281906401964e-08,1.8747722388616603e-08,1.850898840633782e-08,2.0268003731712337e-08,2.1724754480666586e-08,2.317568620666734e-08,2.4925146022934443e-08,2.7182591581148473e-08,2.952540980474105e-08,3.155744608837754e-08,3.3066695802797234e-08,3.553731994259007e-08
DAC,power,ES,5.638324360214738e-09,6.553920968745413e-09,7.1246988280486466e-09,7.70608337026759e-09,8.09325949842238e-09,8.526373142552688e-09,9.006434704953074e-09,9.514070320949791e-09,1.0078683046073036e-08,1.0721129140328501e-08,1.1378244530343463e-08,1.2063102056373364e-08,1.2843020674616062e-08,1.3708326414001737e-08,1.46930847758277e-08,1.5791870725022717e-08,1.6978585997092774e-08,1.8409211128460055e-08,1.9855497685806368e-08,2.1654442460774533e-08,2.1886830999622917e-08,2.4033428926349094e-08,2.6013078863937552e-08,2.7952287422749373e-08,3.054386865075037e-08,3.297109276295566e-08,3.5326966143657455e-08,3.7650155958013285e-08,3.938897428658758e-08,4.1938678778741246e-08
