year,value
0,70157.049967517
1,70783.99113651895
2,70240.57246344729
3,70004.27854724193
4,69064.82568637432
5,68406.24608802072
6,67702.38563840925
7,66211.2833171669
8,65670.02390397365
9,64815.806167108894
10,63807.190962633445
11,63738.33190645276
12,63925.03367517023
13,64148.706856325705
14,63848.55604610201
15,62971.39403761362
16,63070.19442255333
17,63560.545341093566
18,63547.540064300505
19,63070.257642337376
20,63219.361814786476
21,65932.08704003444
22,65564.42568943939
23,64969.96569683999
24,64629.38038912706
25,64560.06698353714
26,65112.70725022827
27,65013.90603397468
28,64739.62323257662
29,64398.52641119627
