year,value
0,383973.48063747503
1,385312.81552999385
2,386650.3079880842
3,340458.27284406783
4,336470.25716446224
5,336468.8096014479
6,336521.42074646923
7,334243.5005916924
8,334931.32777893567
9,335258.52403462323
10,335007.0342786414
11,335686.9067934274
12,337191.74117840076
13,338778.10835266975
14,339386.04277923726
15,339138.9341035989
16,342698.49535387417
17,346200.80810727493
18,348012.7425960244
19,345555.21337347885
20,345554.9176759705
21,354857.68195026915
22,354154.6001797252
23,352933.5810378474
24,351668.5882725158
25,347321.02134417
26,349588.28084128397
27,349412.85217432404
28,348801.91145457164
29,347562.6147904683
