node,year,material_transport_cost
AUS,2021,0.07644
AUT,2021,0.11844
BRA,2021,0.03528
CHN,2021,0.50064
CZE,2021,0.18228
DEU,2021,0.12096
ITA,2021,0.07644
JPN,2021,0.31416
KOR,2021,0.56616
ROE,2021,0.105
ROW,2021,0.09156
USA,2021,0.08988
