node,availability_import_yearly
AUS,20000000
BRA,157000000
CHE,0
CHN,195000000
DEU,3000000
DNK,4000000
GBR,49000000
IND,35000000
JPN,4000000
NLD,1000000
ROE,626000000
ROW,0
SWE,0
USA,707000000
