node,year_construction,capacity_existing
AUS,2022,830
AUT,2022,0
BRA,2022,381
CHN,2022,1900
CZE,2022,0.0
DEU,2022,0.06
ITA,2022,0.0
JPN,2022,0
KOR,2022,0
ROE,2022,3431
ROW,2022,14158
USA,2022,1300
