technology,location,0,1,2,3,4,5,6,7,8,9
DAC,FI,1.704556913358909e-07,2.239496550437159e-07,2.5892689176219746e-07,3.023524364722527e-07,3.652965583943701e-07,4.4986995794703513e-07,5.38177055391601e-07,6.271376948870331e-07,7.673457478675497e-07,2.2305152024369067e-06
DAC,FR,1.7519480358170075e-07,2.2935763436830578e-07,2.729079463291885e-07,3.072943905955872e-07,3.6769396227206005e-07,4.565989891480335e-07,5.369958186733459e-07,6.53100374672439e-07,8.376272092067703e-07,2.5474837113730075e-06
DAC,HR,1.698041766472003e-07,2.227955763549767e-07,2.653353040572553e-07,2.9936111488347164e-07,3.5152886531255075e-07,4.2285751670863296e-07,4.942029321693184e-07,6.023600951226881e-07,7.594787883586139e-07,2.220970807072204e-06
DAC,HU,1.7506814487677726e-07,2.2550485066091855e-07,2.6855819774691306e-07,3.020726237788501e-07,3.5747452020029976e-07,4.347635752206616e-07,5.113384871666108e-07,6.27562805051326e-07,7.827830504910939e-07,2.3307463555303647e-06
DAC,IE,1.691559533723904e-07,2.1207170348863923e-07,2.570029373376985e-07,3.07760225544614e-07,3.73322006586033e-07,4.6348627549368174e-07,5.871813571365273e-07,7.282834421372912e-07,9.199425524854675e-07,2.803769456487797e-06
DAC,IT,1.7292685155231978e-07,2.1969205016118325e-07,2.4803339760902507e-07,2.8905282951334236e-07,3.459491675155259e-07,4.2217080467737953e-07,4.93237791946485e-07,6.008614334580058e-07,7.691458584276245e-07,2.2743641122240906e-06
DAC,LT,1.7332159427974865e-07,2.2334542906515474e-07,2.605401700326983e-07,2.9920067541542645e-07,3.6014514159737396e-07,4.5153003028745103e-07,5.338270374770696e-07,6.561315843941303e-07,8.178892245828885e-07,2.501697458771463e-06
DAC,LU,1.5842056569901722e-07,2.2553485848634043e-07,2.7208890490595827e-07,3.035132486577473e-07,3.492403836656381e-07,4.2189052591596864e-07,4.882804871320296e-07,5.967057538288598e-07,7.616975127085291e-07,2.2454574706922873e-06
DAC,LV,1.7386793229103464e-07,2.2703934702286098e-07,2.698698598643708e-07,3.031514238425105e-07,3.5298649260060594e-07,4.343361012550601e-07,5.118757444288719e-07,6.170648229577168e-07,7.751443296531853e-07,2.311269914141723e-06
DAC,NL,1.616273639115064e-07,2.129593284144268e-07,2.496240430634299e-07,2.88850115649387e-07,3.4180900765469793e-07,4.1332959197222644e-07,4.769930188778857e-07,5.769136817302271e-07,7.173015103031235e-07,2.161717199956497e-06
DAC,NO,1.7833415109523552e-07,2.3423016352714183e-07,2.81654063111407e-07,3.347532793849041e-07,3.7969848820153996e-07,4.6520972000461957e-07,5.730379869407899e-07,6.986384274659544e-07,8.661015913028579e-07,2.529489242975529e-06
DAC,PL,1.7397425500576524e-07,2.267105355474296e-07,2.7337120883900403e-07,3.207855874407277e-07,3.779798438556257e-07,4.4214710764722805e-07,5.120433957675263e-07,6.14926903954027e-07,7.523905258553082e-07,2.2308067601664295e-06
DAC,PT,1.6320421731619375e-07,2.0719835603586903e-07,2.4796362617171934e-07,2.948412534344213e-07,3.564697674433944e-07,4.4715273507603333e-07,5.251427204024671e-07,6.316242266445649e-07,7.969059270294712e-07,2.3582707251388557e-06
DAC,RO,1.6303491683161146e-07,2.0250388997572583e-07,2.4219997717698685e-07,2.875221004379719e-07,3.45497744124943e-07,4.1930191816799784e-07,4.935929253837282e-07,6.088490963911775e-07,7.661129985796504e-07,2.2689485189366245e-06
DAC,SE,1.729117148731048e-07,2.2554446448051675e-07,2.6068929414934564e-07,3.100484336600438e-07,3.787440723147629e-07,4.7348683483538184e-07,5.705184494742611e-07,6.760548036416944e-07,8.221657187272108e-07,2.464389890995467e-06
DAC,SI,1.7090170896296235e-07,2.2439027031120908e-07,2.7264545532562273e-07,3.180975138779231e-07,3.5386114119939053e-07,4.2268288637979534e-07,4.885608738104345e-07,5.875773185495722e-07,7.095383596454461e-07,2.1218456819016036e-06
DAC,SK,1.660883653833027e-07,2.1214574846563274e-07,2.5091387086358394e-07,2.9121904657004567e-07,3.4167722074398006e-07,4.0965141657612637e-07,4.6567002831815607e-07,5.582469380691846e-07,6.972658305729003e-07,2.0570446562707792e-06
DAC,UK,1.7419891330136208e-07,2.1549150939845285e-07,2.6277182806305777e-07,3.18279485554408e-07,3.9191903281444543e-07,4.937544723020865e-07,5.903527926588352e-07,7.214077207439113e-07,9.133973827616149e-07,2.83882476526898e-06
battery,AT,2.583372185175009e-07,2.3762275657249623e-07,2.6703693204329157e-07,3.632229299922676e-07,4.792596098065005e-07,6.202031723551502e-07,8.05518200139342e-07,1.3623683490018763e-06,2.0923299831889043e-06,7.857934475959654e-06
battery,BE,2.530066519732675e-07,2.336908018457644e-07,2.635642118786102e-07,3.5181003415383806e-07,4.5657597947116097e-07,5.781954277566526e-07,7.654504044142621e-07,1.27478898965107e-06,1.6859754565708713e-06,6.609904345342409e-06
battery,BG,2.52048851777871e-07,2.3242308235566063e-07,2.5529347166026244e-07,3.4712466201965617e-07,4.592695402847964e-07,5.919098919143434e-07,8.25529189936171e-07,1.2666324821203168e-06,1.6948855534136507e-06,8.670137091591343e-06
battery,CH,2.559930950260141e-07,2.3578603184640296e-07,2.637016522119741e-07,3.703971326885517e-07,4.837688143644308e-07,6.397625045306923e-07,8.294142254949636e-07,1.430604802595519e-06,2.2666173803609317e-06,8.518662531475916e-06
battery,CZ,2.624081850962246e-07,2.4131136228128736e-07,2.7003271389264767e-07,3.666154227626617e-07,4.798134929757884e-07,6.38555814834005e-07,8.231672853580919e-07,1.6087856267079812e-06,2.6363331224033483e-06,9.949533624304054e-06
battery,DE,2.501831850855412e-07,2.304545686429292e-07,2.5538381016649746e-07,3.4445340932262735e-07,4.589891731664125e-07,5.870526344795385e-07,7.777177984965076e-07,1.290666202667422e-06,1.9961607138272058e-06,7.214740873854765e-06
battery,DK,2.620278592729655e-07,2.4121746390016356e-07,2.6585224020348817e-07,3.548276370139462e-07,4.657808197495465e-07,5.840155592728808e-07,8.141256561053846e-07,1.22904600853681e-06,1.659562887331568e-06,6.424263793499324e-06
battery,EE,2.6483786683956034e-07,2.4341046468879065e-07,2.672400611809006e-07,3.523673889526946e-07,4.5090277847794566e-07,5.615712730017251e-07,7.616938549410225e-07,1.1885249675473272e-06,1.5503930541559856e-06,5.714277692686037e-06
battery,EL,2.576026223434694e-07,2.37391847405023e-07,2.6071031835911185e-07,3.475598412793588e-07,4.5062037093954844e-07,5.980302446402357e-07,9.260726248310712e-07,1.5587477712180692e-06,2.3708425317204333e-06,1.1181576055136875e-05
battery,ES,2.479937661468195e-07,2.2869711090554688e-07,2.477846211001753e-07,3.1912676731681404e-07,3.995012022105994e-07,5.086533851713139e-07,7.013186732142642e-07,1.056853574023852e-06,1.6322506078231992e-06,5.600233635626224e-06
battery,FI,2.6170406533309046e-07,2.409156791605249e-07,2.6456916196878337e-07,3.426834331909266e-07,4.3794044460916305e-07,5.523785997878103e-07,7.173663902361418e-07,1.2187258912277893e-06,1.664518219960716e-06,6.217360574710114e-06
battery,FR,2.485037042466734e-07,2.3016294455087934e-07,2.5807693260756454e-07,3.3348159977364566e-07,4.1221025576756107e-07,5.078016706456165e-07,6.91385603298084e-07,1.0911155738683702e-06,1.536222888364687e-06,5.669968867110587e-06
battery,HR,2.555284113296794e-07,2.3509582620530862e-07,2.5538500638763346e-07,3.410116604878782e-07,5.096898064711132e-07,6.504803789198817e-07,8.602854606325402e-07,1.4973742978838688e-06,2.0582739889259814e-06,7.362559408292014e-06
battery,HU,2.539584152694749e-07,2.3402087042805314e-07,2.581939169303549e-07,3.5265996319060714e-07,4.763923386611649e-07,6.444623101942278e-07,8.911391073163883e-07,1.4858742607255945e-06,2.158594185851566e-06,7.921918843219056e-06
battery,IE,2.5593931684093654e-07,2.3619434042755978e-07,2.6866123419717445e-07,3.479290342739285e-07,4.33598292774337e-07,5.129645460895004e-07,6.843324765488816e-07,9.96248929356843e-07,1.2943387664881003e-06,4.740268499389656e-06
