node,year_construction,capacity_existing
AUS,2020,1600000
BRA,2020,0
CHE,2020,0
CHN,2020,37000000
DEU,2020,0
DNK,2020,0
GBR,2020,0
IND,2020,3600000
JPN,2020,0
NLD,2020,0
ROE,2020,5840000
ROW,2020,16160000
SWE,2020,0
USA,2020,1000000
