node,year,material_transport_cost
AUS,2021,0.00336
AUT,2021,0.2226
BRA,2021,0.0042
CHN,2021,0.09324
CZE,2021,0.00756
DEU,2021,0.00168
ITA,2021,0.11592
JPN,2021,0.09576
KOR,2021,0.05292
ROE,2021,0.08694
ROW,2021,0.069804
USA,2021,0.1008
