node,year,material_transport_cost
AUS,2021,0.0966
AUT,2021,0.09408
BRA,2021,0.03864
CHN,2021,0.5586
CZE,2021,0.1008
DEU,2021,0.063
ITA,2021,0.06384
JPN,2021,0.40404
KOR,2021,0.26964
ROE,2021,0.07224
ROW,2021,0.08316
USA,2021,0.084
