technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9
photovoltaics,power,SE,1.6812,1.6812,1.6812,1.6812,1.6812,1.6812,1.6812,1.6812,1.6812,1.6811
photovoltaics,power,SI,0.3967,0.3967,0.3967,0.3967,0.3967,0.3967,0.3967,0.3967,0.3967,0.3967
photovoltaics,power,SK,2.1098,2.1098,2.1098,2.1098,2.1098,2.1098,8.2508,8.8418,8.8418,8.8418
photovoltaics,power,UK,14.2431,14.2431,14.2431,14.2431,14.2431,14.2431,14.2431,14.2431,14.2431,14.2426
wind_offshore,power,AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,BE,2.2557,2.2557,2.2557,2.2557,2.2557,2.2557,2.2557,2.2557,2.2557,2.2557
wind_offshore,power,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,DE,7.6821,7.6821,7.6821,7.6821,7.6821,7.6821,7.6821,7.6821,7.6776,7.6776
wind_offshore,power,DK,2.3006,2.3006,2.3006,2.3006,2.3006,2.2606,2.1006,1.8872,1.8872,1.8872
wind_offshore,power,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,ES,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
wind_offshore,power,FI,0.0443,0.0443,0.0443,0.0443,0.0443,0.0443,0.0443,0.0443,0.0443,0.0443
wind_offshore,power,FR,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
wind_offshore,power,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,IE,0.0252,0.0252,0.0252,0.0252,0.0252,0.0252,0.0252,0.0252,0.0,0.0
wind_offshore,power,IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,NL,2.9862,2.9862,2.9862,2.9862,2.9862,2.9862,2.9862,2.9862,2.9862,2.9862
wind_offshore,power,NO,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059
wind_offshore,power,PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,PT,0.0252,0.0252,0.0252,0.0252,0.0252,0.0252,0.0252,0.0252,0.0252,0.0252
wind_offshore,power,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,SE,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914
wind_offshore,power,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,UK,10.4804,10.4804,10.4804,10.4804,10.4804,10.4804,10.4804,10.4204,10.3604,10.2704
wind_onshore,power,AT,11.0486,11.0486,11.0474,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486
wind_onshore,power,BE,5.707,5.707,5.707,5.707,5.701,5.695,7.5334,8.1297,8.1297,8.1297
wind_onshore,power,BG,0.8781,0.8781,0.8781,0.8781,0.8781,0.8781,0.8781,0.8781,2.0632,2.0616
wind_onshore,power,CH,0.0878,0.0878,0.0878,0.0878,0.0878,0.0878,0.0878,0.0878,0.0872,0.0834
wind_onshore,power,CZ,0.299,0.299,0.299,0.299,0.299,0.2967,0.2966,0.2891,0.6499,5.1243
wind_onshore,power,DE,55.7988,55.5324,55.091,53.8138,52.3308,49.5669,46.6289,43.5796,41.5299,39.5467
wind_onshore,power,DK,4.284,4.284,4.2704,4.2467,4.2139,4.199,4.3914,4.6088,4.9099,5.7807
wind_onshore,power,EE,0.3485,0.3485,0.3485,0.3485,0.3485,0.3485,0.3462,0.3462,0.3462,0.8652
wind_onshore,power,EL,4.7541,4.7541,4.7439,4.7199,4.6251,4.4401,4.4151,4.2599,5.3255,11.864
wind_onshore,power,ES,28.6303,28.4037,28.133,27.7328,26.8655,25.8804,24.852,23.4049,28.2359,38.2659
wind_onshore,power,FI,19.2221,19.2221,19.2221,19.2145,19.2145,19.2145,19.1988,20.7367,21.7743,25.834
wind_onshore,power,FR,20.5912,20.5912,20.5837,20.5793,20.5574,20.542,20.502,20.4289,20.2806,19.888
wind_onshore,power,HR,0.9861,0.9861,0.9861,0.9861,0.9861,0.9861,0.9861,0.9861,0.9861,0.9801
wind_onshore,power,HU,9.0176,9.0176,9.0176,9.0176,9.0176,9.017,9.0158,9.1393,14.5638,14.9132
