node,year_construction,capacity_existing
AUS,2020,380000
BRA,2020,0
CHE,2020,0
CHN,2020,9800000
DEU,2020,670000
DNK,2020,0
GBR,2020,0
IND,2020,0
JPN,2020,1600000
NLD,2020,0
ROE,2020,1610000
ROW,2020,10030000
SWE,2020,0
USA,2020,910000
